L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
37.9411,30.1852,53.2738,0.412349,1.28079,1.22128,84.5339,0.00185252,6.90348,6.99298,34.702,0.385517,0.547018,0.541961,8.49008,0.00035064,2.11846,1.51398,19.2519,3.76493
37.944,30.1881,53.2733,0.507088,1.28654,1.22715,84.5047,0.00392822,6.9064,6.9959,34.7014,0.480257,0.552778,0.547833,8.46094,0.000833034,2.11883,1.51274,19.2861,3.75726
37.9436,30.1877,53.2746,0.492195,1.29008,1.2302,84.6021,0.003721,6.90597,6.99554,34.7028,0.465364,0.556316,0.550879,8.55828,0.000822758,2.11631,1.51291,19.0788,3.75836
37.9442,30.1883,53.2741,0.57166,1.292,1.2323,84.5552,0.00415164,6.90651,6.99606,34.7023,0.544829,0.558229,0.552981,8.5114,0.00126778,2.11734,1.51192,19.1629,3.75224
37.9433,30.1874,53.2734,0.540323,1.29215,1.23279,84.5009,0.0038315,6.90561,6.99518,34.7016,0.513492,0.558384,0.55347,8.45713,0.000589893,2.11865,1.51234,19.2716,3.75482
37.944,30.1881,53.2735,0.670563,1.29291,1.23357,84.5116,0.00494186,6.90638,6.99594,34.7016,0.643731,0.559146,0.554253,8.46775,0.00145212,2.11833,1.51071,19.2454,3.74477
37.9475,30.1916,53.2728,0.674741,1.29301,1.23384,84.4903,0.00392048,6.90981,6.99936,34.701,0.64791,0.559241,0.554518,8.4465,0.00124847,2.11886,1.51058,19.2879,3.74398
37.9491,30.1932,53.2723,0.607048,1.29396,1.23496,84.4814,0.00434557,6.91141,7.00096,34.7005,0.580216,0.560189,0.555643,8.43761,0.00155002,2.11902,1.51138,19.301,3.74893
37.945,30.1891,53.2737,0.657499,1.29491,1.23549,84.5474,0.00442709,6.90737,6.99692,34.7019,0.630668,0.561142,0.556168,8.50364,0.00150091,2.11737,1.51084,19.1657,3.7456
37.9494,30.1934,53.272,0.547039,1.29585,1.237,84.458,0.00373916,6.91172,7.00124,34.7002,0.520207,0.562085,0.557683,8.41417,0.000547537,2.11951,1.51212,19.3426,3.75349
