Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96133,0,1.81752,0.00102654,0.0727627,0,0.111504,7.47306e-06,0.115886,0,1.23285,0.0010195,0.0183168,0,0.0876581,7.38357e-06,, , 0.0677833,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134841,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.38357e-06,0.0585562
2,15.1239,15.1814,11.342,0.0105231,0.500374,0.504157,3.47522,0.00120713,3.68314,3.74065,9.61549,0.0102096,0.174548,0.178332,2.60677,7.49841e-05,, , 0.531166,6.59864,0.293982,15.1163,9.97854,9.61549,0.0102096,0.0155217,0.204784,0.129148,0.0189484,0.00853657,0.640836,2.60677,7.49841e-05,0.920125
3,4.20647,4.23158,7.27464,0.021101,0.173582,0.175269,2.83018,0.00141519,0.892286,0.917391,6.41647,0.020474,0.0699398,0.0716265,1.10065,0.000175052,, , 0.231873,1.44982,0.127988,5.23262,3.22802,6.41647,0.020474,0.0293457,0.091551,0.0417726,0.00824274,0.00755516,0.204585,1.10065,0.000175052,1.73961
4,6.1782,6.23487,7.76698,0.0425978,0.276819,0.280531,5.61029,0.000469384,1.10421,1.16088,6.41616,0.0413437,0.134309,0.138021,2.15227,0.000109959,, , 0.467349,1.54823,0.249511,8.74862,4.69842,6.41616,0.0413437,0.0584488,0.179757,0.0761984,0.0163748,0.0118465,0.284231,2.15227,0.000109959,3.46485
5,1.52964,1.5505,7.03848,0.0725449,0.0879139,0.0890387,7.70087,0.000289152,0.273936,0.294792,5.50266,0.0700368,0.0483579,0.0494827,0.787038,0.000115029,, , 0.169971,0.307138,0.0916197,6.2831,1.66068,5.50266,0.0700368,0.116473,0.0677551,0.024022,0.00606355,0.017688,0.0855392,0.787038,0.000115029,6.90454
6,2.44499,2.48902,8.44023,0.128198,0.150426,0.15319,15.3482,0.000192096,0.448259,0.492287,5.50286,0.123182,0.0964174,0.0991812,1.52083,7.39069e-05,, , 0.350027,0.409594,0.180924,11.9572,2.76674,5.50286,0.123182,0.232886,0.136815,0.0467762,0.0120076,0.0313899,0.125166,1.52083,7.39069e-05,13.8055
7,0.470157,0.471299,9.57552,0.263343,0.0297337,0.0300592,49.3644,0.000250679,0.38592,0.387062,0.0130277,0.246258,0.016408,0.0167335,0.201691,3.34549e-05,, , 0.0101981,0.757676,0.00510665,12.0326,0.287429,0.0130277,0.246258,0.827824,0.0136316,0.0183357,0.00117421,0.107445,0.0520212,0.201691,3.34549e-05,49.0734
8,0.0286185,0.028755,0.0180513,0.000988995,0.000539289,0.000545351,0.0602466,3.89268e-07,0.00198252,0.00211902,0.0020804,0.00096814,8.74362e-05,9.34975e-05,0.000227484,1.24101e-07,, , 0.00126783,0.00218914,0.000644581,0.0803593,0.0212412,0.0020804,0.00096814,0.00101147,7.37125e-05,8.89254e-05,1.82958e-05,0.000321226,0.00074128,0.000227484,1.24101e-07,0.0599602
Total,37.9433,30.1874,53.2734,0.540323,1.29215,1.23279,84.5009,0.0038315,6.90561,6.99518,34.7016,0.513492,0.558384,0.55347,8.45713,0.000589893,, , 1.82964,11.0806,0.990543,66.3248,24.208,34.7016,0.513492,1.2825,0.707851,0.339823,0.0641809,0.186405,1.4432,8.45713,0.000589893,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11865,0.00820046,1.51234,19.2716,0.02036,3.75482
