epoch,average loss,accuracy
0.000000,71.380035,43.240002
1.000000,62.113617,53.119999
2.000000,57.892048,58.020000
3.000000,52.803577,61.189999
4.000000,49.112019,64.680000
5.000000,43.122444,70.309998
6.000000,38.433006,74.400002
7.000000,41.390465,71.349998
8.000000,47.934753,65.309998
9.000000,35.596916,76.050003
10.000000,35.005806,77.650002
11.000000,34.508831,76.669998
12.000000,32.113995,78.980003
13.000000,32.491226,78.360001
14.000000,32.621937,78.849998
15.000000,32.996258,78.010002
16.000000,33.265503,77.209999
17.000000,32.969364,78.690002
18.000000,32.489986,78.000000
19.000000,29.780378,80.599998
20.000000,29.063955,80.750000
21.000000,27.994690,82.019997
22.000000,32.602711,77.760002
23.000000,29.670109,80.349998
24.000000,29.969482,80.129997
25.000000,34.812805,76.309998
26.000000,28.804462,80.739998
27.000000,29.616049,80.839996
28.000000,29.302694,80.870003
29.000000,27.768131,81.900002
30.000000,25.164934,84.000000
31.000000,29.852226,80.150002
32.000000,29.748619,80.070000
33.000000,25.738600,83.449997
34.000000,27.282593,82.110001
35.000000,26.201773,83.379997
36.000000,28.393951,81.279999
37.000000,26.566353,82.559998
38.000000,30.153629,80.180000
39.000000,26.543854,83.349998
40.000000,26.050243,82.919998
41.000000,28.429230,81.379997
42.000000,27.494986,81.930000
43.000000,27.998625,82.230003
44.000000,25.293814,83.830002
45.000000,25.152248,83.889999
46.000000,28.918545,80.720001
47.000000,24.872343,84.080002
48.000000,27.527868,82.040001
49.000000,29.991352,79.669998
50.000000,26.010397,83.099998
51.000000,26.076035,82.980003
52.000000,29.062584,80.699997
53.000000,29.162577,80.540001
54.000000,26.626404,82.809998
55.000000,25.424536,83.269997
56.000000,26.827797,82.220001
57.000000,29.304588,80.070000
58.000000,27.946510,81.199997
59.000000,26.092316,82.790001
60.000000,24.782627,84.029999
61.000000,29.441351,80.050003
62.000000,32.557991,77.720001
63.000000,29.134491,80.410004
64.000000,28.324097,80.980003
65.000000,27.084246,82.430000
66.000000,27.356150,82.269997
67.000000,25.959372,83.019997
68.000000,26.564175,82.650002
69.000000,24.349501,83.870003
70.000000,29.421732,80.370003
71.000000,27.756334,81.660004
72.000000,27.087988,81.870003
73.000000,34.509911,76.559998
74.000000,26.625256,82.190002
75.000000,25.591877,83.550003
76.000000,24.313900,84.500000
77.000000,29.410334,80.400002
78.000000,28.859209,80.669998
79.000000,29.438522,79.910004
80.000000,26.766506,82.269997
81.000000,26.172407,82.410004
82.000000,26.535082,82.889999
83.000000,25.305136,83.449997
84.000000,24.288769,84.309998
85.000000,27.019186,81.830002
86.000000,25.087105,83.139999
87.000000,28.533800,81.260002
88.000000,26.313036,83.000000
89.000000,25.640364,83.430000
90.000000,27.857588,81.660004
91.000000,25.478327,83.500000
92.000000,26.658823,82.730003
93.000000,26.401590,82.769997
94.000000,25.080132,83.480003
95.000000,23.742233,85.099998
96.000000,27.158535,82.250000
97.000000,24.053110,84.599998
98.000000,24.372864,84.070000
99.000000,31.156940,79.050003
100.000000,25.311941,83.449997
101.000000,26.147932,82.889999
102.000000,25.624699,83.220001
103.000000,23.351562,84.889999
104.000000,28.570942,80.870003
105.000000,26.507790,82.099998
106.000000,26.743570,82.510002
107.000000,27.019161,82.379997
108.000000,26.294477,82.459999
109.000000,25.585234,83.120003
110.000000,24.826136,83.790001
111.000000,25.301121,83.809998
112.000000,31.228764,78.589996
113.000000,26.747643,81.900002
114.000000,23.296000,85.320000
115.000000,24.283766,84.339996
116.000000,23.347744,84.879997
117.000000,26.148338,83.070000
118.000000,28.413326,80.669998
119.000000,23.841066,84.620003
120.000000,26.444344,82.269997
121.000000,25.077112,83.910004
122.000000,24.467600,83.879997
123.000000,27.121662,81.820000
124.000000,30.470707,79.500000
125.000000,23.743382,84.699997
126.000000,24.003481,84.339996
127.000000,25.474968,83.339996
128.000000,26.516735,82.239998
129.000000,25.246891,83.900002
130.000000,25.246172,83.500000
131.000000,25.523510,83.739998
132.000000,27.290365,81.800003
133.000000,26.101200,82.599998
134.000000,29.181524,80.190002
135.000000,26.058811,82.750000
136.000000,27.663778,82.180000
137.000000,23.215267,85.129997
138.000000,24.597651,83.830002
139.000000,28.641571,80.139999
140.000000,25.391281,83.500000
141.000000,26.184361,82.709999
142.000000,24.275644,84.529999
143.000000,25.709808,82.820000
144.000000,27.446196,81.940002
145.000000,25.586811,82.860001
146.000000,23.605293,84.160004
147.000000,28.204401,81.230003
148.000000,24.925852,83.610001
149.000000,22.728767,85.440002
150.000000,25.162392,83.430000
151.000000,30.614332,79.290001
152.000000,25.570688,83.029999
153.000000,29.405304,80.480003
154.000000,28.549723,81.320000
155.000000,24.743393,83.540001
156.000000,23.845110,84.370003
157.000000,26.885088,82.169998
158.000000,24.838861,83.489998
159.000000,25.267172,83.269997
160.000000,27.159346,81.980003
161.000000,25.190693,83.430000
162.000000,23.768969,84.269997
163.000000,26.236441,82.470001
164.000000,25.215656,83.919998
165.000000,23.813234,84.650002
166.000000,28.709887,80.930000
167.000000,25.217035,83.220001
168.000000,24.339987,84.169998
169.000000,29.050219,80.500000
170.000000,25.894087,83.339996
171.000000,25.557535,83.180000
172.000000,23.212019,84.639999
173.000000,25.773586,83.169998
174.000000,22.750214,85.330002
175.000000,24.513247,84.059998
176.000000,31.121887,78.440002
177.000000,30.719526,78.940002
178.000000,23.666916,84.650002
179.000000,26.590546,82.269997
180.000000,26.528812,82.570000
181.000000,23.594282,84.510002
182.000000,26.375179,82.639999
183.000000,25.734219,83.099998
184.000000,25.749075,82.849998
185.000000,24.066484,84.150002
186.000000,25.135326,83.589996
187.000000,25.046926,83.680000
188.000000,24.073744,84.330002
189.000000,26.224785,82.459999
190.000000,27.864698,81.589996
191.000000,28.706844,80.620003
192.000000,24.128632,84.279999
