1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001139,0.000068,0.000026,-0.000697,-0.000108,-0.000117,0.000049,0.000031,0.027479,0.013016,0.017414,0.018077,0.012369,0.010388,0.005157,0.007334
-0.003400,0.001187,0.000667,0.001221,0.000402,0.000145,0.000053,-0.000159,0.026599,0.015928,0.019338,0.019352,0.015430,0.013193,0.006166,0.006820
0.000868,0.000360,0.000691,-0.000192,-0.000118,0.000176,0.000017,-0.000159,0.031242,0.016468,0.023400,0.018520,0.017970,0.010159,0.006254,0.011388
0.001537,-0.001456,-0.001084,-0.000593,-0.000520,-0.000132,0.000007,0.000000,0.033874,0.017387,0.023315,0.017998,0.018038,0.015391,0.006827,0.011152
-0.002478,-0.000214,-0.000254,-0.001450,-0.000295,-0.000007,0.000058,0.000037,0.029688,0.019297,0.020003,0.020355,0.013960,0.011800,0.006791,0.011654
-0.000018,0.001319,0.000007,-0.000770,-0.000573,0.000320,-0.000026,0.000201,0.031952,0.018327,0.018663,0.021456,0.019222,0.016501,0.008564,0.009666
0.001374,-0.000791,0.000180,-0.000255,-0.000284,-0.000294,0.000044,-0.000208,0.030676,0.016895,0.017343,0.020222,0.017303,0.015040,0.008804,0.010333
-0.000651,-0.000351,-0.000131,0.000263,0.000335,0.000415,0.000048,-0.000067,0.026850,0.017773,0.024413,0.018924,0.017866,0.016669,0.007153,0.010427
0.002224,-0.000829,-0.000426,-0.000942,-0.000129,-0.000072,0.000019,0.000055,0.030792,0.019912,0.019392,0.020280,0.018539,0.016002,0.008235,0.010130
0.002930,0.001128,-0.000429,0.000485,-0.000076,0.000141,0.000000,-0.000323,0.031334,0.019427,0.021738,0.015887,0.014639,0.012134,0.006679,0.011165
-0.003635,0.000330,-0.000518,-0.000447,-0.000225,0.000049,0.000041,0.000214,0.030249,0.021369,0.021733,0.015976,0.021614,0.011447,0.009085,0.010498
0.003074,0.000143,0.000206,-0.000728,0.000058,-0.000087,0.000038,0.000079,0.036644,0.019523,0.021851,0.022929,0.014007,0.012822,0.007319,0.011439
-0.004937,-0.001174,-0.000563,-0.000024,-0.000049,-0.000079,0.000008,0.000415,0.025239,0.018573,0.021789,0.016880,0.019530,0.011396,0.008124,0.010726
-0.002206,0.001685,-0.000067,0.001072,0.000358,0.000867,0.000058,-0.000311,0.033954,0.020763,0.017652,0.019939,0.016094,0.020555,0.007207,0.012021
-0.001863,-0.000134,-0.000471,-0.000018,-0.000685,-0.000059,0.000003,0.000006,0.029885,0.025398,0.020320,0.019456,0.022310,0.013515,0.007489,0.011032
-0.005226,0.001080,-0.000189,-0.000657,-0.000270,-0.000087,0.000035,-0.000043,0.030722,0.021789,0.022245,0.017135,0.014217,0.013030,0.007997,0.011670
-0.003635,-0.001258,-0.000630,-0.000230,0.000083,0.000179,0.000014,0.000134,0.029949,0.019412,0.021134,0.019609,0.015393,0.016970,0.008488,0.011880
0.002080,0.001761,0.000426,-0.000033,0.000222,0.000391,0.000039,0.000256,0.032586,0.021449,0.024532,0.012730,0.019623,0.019075,0.007572,0.009158
0.002677,-0.001918,-0.000017,-0.000113,0.000445,-0.000208,-0.000027,-0.000073,0.033585,0.023671,0.020605,0.016135,0.020054,0.016709,0.009166,0.006822
-0.001212,0.000390,-0.000276,0.000190,-0.000103,0.000089,-0.000007,-0.000238,0.034021,0.020052,0.018112,0.014864,0.015989,0.012261,0.007337,0.007278
0.001790,0.000782,0.000229,0.000839,0.000564,-0.000020,0.000007,0.000183,0.029355,0.019607,0.017218,0.014082,0.015731,0.010999,0.007288,0.010407
-0.000651,0.001096,0.000671,0.001012,0.000726,0.000464,0.000077,0.000049,0.031139,0.017097,0.021889,0.019837,0.020945,0.018884,0.007958,0.008514
-0.003382,-0.001916,-0.000275,0.000266,0.000149,0.000314,0.000041,0.000183,0.026876,0.020783,0.021630,0.020012,0.020797,0.019974,0.008218,0.008145
0.001573,-0.000779,0.000422,0.000001,-0.000228,-0.000213,0.000022,-0.000146,0.024955,0.018101,0.021259,0.019218,0.020493,0.015805,0.008053,0.012321
-0.000307,0.000205,-0.000322,0.000174,-0.000038,0.000082,0.000043,-0.000061,0.029979,0.019627,0.016376,0.021216,0.021150,0.015438,0.007707,0.008424
0.003074,-0.000205,-0.000058,-0.000128,0.000116,0.000143,0.000042,0.000226,0.028682,0.019295,0.024005,0.019052,0.015884,0.016867,0.007730,0.012939
-0.002695,-0.000392,-0.000454,0.000018,-0.000306,-0.000061,-0.000072,0.000226,0.029363,0.018363,0.022150,0.020688,0.017521,0.017721,0.008465,0.011570
0.000307,0.000122,0.000384,0.000639,0.000169,-0.000011,-0.000032,0.000049,0.028070,0.025872,0.021964,0.021358,0.015754,0.016241,0.007832,0.011014
0.001320,0.001211,0.000787,0.000319,-0.000041,-0.000082,0.000043,-0.000110,0.029109,0.017505,0.021303,0.020223,0.015151,0.016340,0.008420,0.007564
0.000814,0.000932,-0.000228,-0.000107,-0.000156,-0.000359,0.000010,0.000043,0.026655,0.026050,0.022268,0.020222,0.014854,0.017274,0.007676,0.007982
-0.002044,-0.000445,0.000053,-0.000272,-0.000147,-0.000053,0.000016,0.000171,0.029721,0.018949,0.018067,0.014824,0.016684,0.014436,0.006008,0.010768
-0.004829,0.001464,0.000381,0.000237,0.000119,0.000286,0.000026,-0.000116,0.032780,0.026892,0.019027,0.015171,0.017646,0.014950,0.006961,0.010608
0.000235,-0.001184,-0.000004,-0.000380,-0.000257,-0.000084,-0.000023,-0.000067,0.025585,0.021830,0.022414,0.017066,0.016256,0.018361,0.006066,0.009785
-0.002658,-0.000418,-0.000826,0.000085,0.000084,-0.000108,0.000006,-0.000165,0.027166,0.024381,0.021698,0.019943,0.015321,0.015942,0.006154,0.013907
0.000977,-0.001454,-0.000253,-0.000536,-0.000535,-0.000239,-0.000022,0.000037,0.025940,0.016825,0.021595,0.019464,0.016549,0.017202,0.006600,0.011049
-0.000506,-0.000385,0.000321,-0.000289,0.000530,-0.000002,0.000019,-0.000153,0.029501,0.017288,0.017673,0.020768,0.018633,0.013584,0.007088,0.012213
