1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.003549,-0.006970,0.008324,0.001946,0.000189,-0.011177,-0.025485,-0.017673,0.500595,0.634078,0.641453,0.636042,0.652965,0.670879,0.699051,0.639993
-0.014102,-0.016527,0.010978,-0.012520,-0.002182,-0.017706,-0.032077,-0.016203,0.451190,0.585698,0.590115,0.600524,0.613194,0.640354,0.690504,0.636202
-0.016426,-0.022382,0.007258,-0.020778,-0.003079,-0.024265,-0.035514,-0.014557,0.444191,0.559133,0.560856,0.577904,0.584090,0.616285,0.684697,0.633055
-0.015837,-0.028900,0.001801,-0.036548,-0.003624,-0.028969,-0.040250,-0.014610,0.453120,0.543490,0.545561,0.574969,0.566922,0.597369,0.682000,0.631074
-0.014193,-0.029329,-0.004462,-0.045574,-0.005405,-0.032584,-0.043297,-0.014630,0.454578,0.533440,0.535573,0.582473,0.553691,0.583223,0.678910,0.628578
-0.019220,-0.035415,-0.005764,-0.050142,-0.009440,-0.036609,-0.045789,-0.013381,0.466704,0.529051,0.531727,0.586451,0.545321,0.571829,0.678951,0.624186
-0.015812,-0.037195,-0.009324,-0.063100,-0.010730,-0.040705,-0.049913,-0.010776,0.469552,0.527472,0.528753,0.585476,0.539020,0.563843,0.681462,0.620708
-0.016564,-0.039903,-0.010507,-0.067079,-0.012573,-0.044215,-0.055639,-0.007781,0.467414,0.525949,0.527221,0.585156,0.534948,0.556729,0.684827,0.615100
-0.017068,-0.033952,-0.011268,-0.066444,-0.012765,-0.047040,-0.059537,-0.007234,0.473048,0.527386,0.527463,0.582367,0.531574,0.552328,0.682739,0.612337
-0.017421,-0.040383,-0.016504,-0.071423,-0.016459,-0.051223,-0.062203,-0.006388,0.484256,0.529476,0.526115,0.575247,0.532146,0.549110,0.683846,0.611370
-0.014352,-0.039369,-0.018697,-0.076066,-0.019605,-0.052231,-0.065292,-0.005263,0.479454,0.528439,0.527359,0.575179,0.532581,0.546746,0.684957,0.608825
-0.018531,-0.040713,-0.019084,-0.072990,-0.020490,-0.053779,-0.067278,-0.005136,0.486171,0.531445,0.526215,0.578408,0.534967,0.544681,0.685079,0.606835
-0.009007,-0.044407,-0.017017,-0.075340,-0.022230,-0.057490,-0.070126,-0.004572,0.490729,0.532651,0.524151,0.578939,0.536184,0.543739,0.685112,0.604780
-0.013866,-0.046460,-0.019968,-0.081312,-0.023208,-0.061289,-0.069840,-0.004693,0.479071,0.534655,0.523856,0.587292,0.538953,0.543916,0.683361,0.603538
-0.009231,-0.040887,-0.018158,-0.079900,-0.025405,-0.063798,-0.070538,-0.004048,0.482323,0.535373,0.523390,0.588330,0.539379,0.543992,0.684402,0.602505
-0.020405,-0.041004,-0.020932,-0.083174,-0.025922,-0.062925,-0.071836,-0.003200,0.489971,0.534481,0.521803,0.591510,0.541335,0.543746,0.681922,0.599611
-0.011851,-0.043682,-0.021792,-0.086181,-0.027597,-0.066543,-0.073483,-0.002742,0.483029,0.536224,0.522157,0.593170,0.543593,0.544680,0.683687,0.598917
-0.016553,-0.044551,-0.024406,-0.085772,-0.027995,-0.066257,-0.074550,-0.002815,0.484899,0.539130,0.521173,0.597399,0.542594,0.546559,0.683096,0.597707
-0.018102,-0.045589,-0.025039,-0.087882,-0.029637,-0.067008,-0.077296,0.000292,0.487646,0.542039,0.521633,0.603227,0.544651,0.546279,0.684282,0.596811
-0.015587,-0.044282,-0.022397,-0.091067,-0.027981,-0.068667,-0.078239,0.000962,0.483288,0.542753,0.519340,0.597015,0.544192,0.546787,0.683760,0.596823
-0.015082,-0.039782,-0.027753,-0.089338,-0.030117,-0.068166,-0.080137,0.002287,0.487267,0.543750,0.519166,0.600145,0.544058,0.548596,0.683755,0.593718
-0.014280,-0.042711,-0.024141,-0.091250,-0.030173,-0.071118,-0.079562,0.002250,0.486546,0.545559,0.519137,0.594984,0.541548,0.550344,0.686376,0.592410
-0.016333,-0.044239,-0.026132,-0.086341,-0.029827,-0.071278,-0.082208,0.002362,0.494528,0.546530,0.520046,0.588546,0.541711,0.552253,0.687673,0.592990
-0.011968,-0.043364,-0.023872,-0.090074,-0.028527,-0.073001,-0.081868,0.004390,0.499957,0.544598,0.522530,0.588189,0.542223,0.554562,0.686329,0.591656
-0.015450,-0.043384,-0.026286,-0.083928,-0.031881,-0.072400,-0.083091,0.004254,0.490413,0.546095,0.520278,0.582625,0.541614,0.555800,0.684979,0.590583
-0.020562,-0.040622,-0.024835,-0.086424,-0.032465,-0.073316,-0.081525,0.004872,0.495323,0.549680,0.520817,0.583561,0.541296,0.556878,0.684018,0.589611
-0.014397,-0.050564,-0.022398,-0.086612,-0.031325,-0.073209,-0.085065,0.004984,0.484057,0.548452,0.519934,0.581426,0.540838,0.559030,0.685975,0.590595
-0.018810,-0.048005,-0.024689,-0.088141,-0.030482,-0.074901,-0.084440,0.004443,0.487453,0.549016,0.520378,0.581048,0.539435,0.560524,0.685923,0.588565
-0.024784,-0.048431,-0.024591,-0.091068,-0.033172,-0.074597,-0.086535,0.006795,0.497544,0.551552,0.520200,0.586255,0.539606,0.561393,0.686958,0.588536
-0.003988,-0.047091,-0.026521,-0.088726,-0.032084,-0.074194,-0.085103,0.006333,0.487550,0.550745,0.518887,0.583725,0.539906,0.560282,0.687992,0.588103
-0.018777,-0.042590,-0.027678,-0.089878,-0.030521,-0.072799,-0.087125,0.005290,0.491339,0.554734,0.520908,0.581885,0.540982,0.562060,0.687195,0.587539
-0.009120,-0.045676,-0.026780,-0.089565,-0.032883,-0.074069,-0.086981,0.006498,0.490777,0.550747,0.518820,0.580030,0.540465,0.561844,0.684528,0.585734
-0.027175,-0.046352,-0.026195,-0.085096,-0.031522,-0.073910,-0.086576,0.006882,0.492511,0.551724,0.520230,0.578489,0.541571,0.564712,0.687042,0.587292
-0.014351,-0.042302,-0.023258,-0.084995,-0.031443,-0.075051,-0.088206,0.007024,0.491845,0.551273,0.518559,0.575943,0.540339,0.563503,0.688216,0.584524
-0.010830,-0.043895,-0.025899,-0.086001,-0.031591,-0.071595,-0.089582,0.005826,0.490675,0.552130,0.519527,0.576666,0.541960,0.563062,0.688848,0.584719
-0.010298,-0.040349,-0.026614,-0.084210,-0.033309,-0.072526,-0.089539,0.007873,0.491906,0.551701,0.520683,0.572185,0.543197,0.561367,0.687995,0.584914
-0.019993,-0.044329,-0.022559,-0.086313,-0.033300,-0.072186,-0.089581,0.007164,0.494678,0.553157,0.517944,0.573016,0.542579,0.563378,0.688011,0.585548
-0.007986,-0.045140,-0.022739,-0.086002,-0.035919,-0.072121,-0.089563,0.009080,0.493655,0.552261,0.519100,0.570939,0.545954,0.563530,0.686923,0.584102
-0.009561,-0.043540,-0.023745,-0.086675,-0.033219,-0.072756,-0.090793,0.009126,0.492122,0.556813,0.520091,0.574664,0.546071,0.562888,0.686284,0.583199
-0.007072,-0.046865,-0.024281,-0.083875,-0.033419,-0.073200,-0.090263,0.009527,0.498366,0.554666,0.518925,0.570041,0.545250,0.563756,0.687187,0.582887
-0.012514,-0.040803,-0.023513,-0.090098,-0.033627,-0.071200,-0.093645,0.009481,0.495467,0.549233,0.518895,0.575372,0.545149,0.562835,0.688089,0.580596
-0.018738,-0.044180,-0.023594,-0.089127,-0.034061,-0.067245,-0.093394,0.009002,0.499428,0.550944,0.518646,0.575251,0.547551,0.561144,0.685954,0.583047
-0.012541,-0.039222,-0.024568,-0.091218,-0.036177,-0.069088,-0.093400,0.010178,0.498968,0.553870,0.518797,0.580224,0.549011,0.562457,0.688173,0.582074
-0.014776,-0.041732,-0.027306,-0.090896,-0.035204,-0.070286,-0.095746,0.010875,0.489696,0.554310,0.520173,0.578943,0.548966,0.564038,0.686497,0.581060
-0.014498,-0.044292,-0.024928,-0.089651,-0.036059,-0.072644,-0.096147,0.010021,0.491432,0.553271,0.518985,0.578506,0.550325,0.564184,0.685382,0.581486
-0.019837,-0.038120,-0.024361,-0.088462,-0.037199,-0.073757,-0.094696,0.010334,0.499138,0.549970,0.517637,0.577394,0.549949,0.566348,0.685107,0.581996
-0.022346,-0.041777,-0.024637,-0.093382,-0.035095,-0.069164,-0.096651,0.009725,0.500103,0.550777,0.519426,0.576360,0.549300,0.563041,0.687979,0.581316
-0.019899,-0.045837,-0.023054,-0.086695,-0.036371,-0.071215,-0.097102,0.010589,0.492213,0.553859,0.519500,0.575887,0.550488,0.563625,0.687296,0.581216
-0.020312,-0.043940,-0.021850,-0.088971,-0.038016,-0.070149,-0.096801,0.009431,0.496170,0.555178,0.519687,0.569657,0.553096,0.563784,0.687612,0.580160
-0.017762,-0.036596,-0.025187,-0.093612,-0.038136,-0.068061,-0.097298,0.010120,0.500977,0.553310,0.519675,0.573797,0.556827,0.562890,0.687782,0.580851
-0.014518,-0.040453,-0.024424,-0.088241,-0.036624,-0.068199,-0.097683,0.010100,0.490848,0.553254,0.519613,0.571340,0.553913,0.563391,0.687230,0.579841
-0.016695,-0.045291,-0.022766,-0.090222,-0.035494,-0.069494,-0.098811,0.009959,0.502623,0.551989,0.520229,0.574678,0.553348,0.564555,0.686415,0.580125
-0.011349,-0.045229,-0.023309,-0.087810,-0.037302,-0.071649,-0.098610,0.010036,0.498258,0.553383,0.518726,0.572432,0.554541,0.567248,0.685819,0.579511
-0.012383,-0.044101,-0.022811,-0.087272,-0.037460,-0.070364,-0.098564,0.010162,0.495384,0.553099,0.516779,0.570103,0.555642,0.566038,0.687207,0.579648
-0.017287,-0.043513,-0.024667,-0.089242,-0.039412,-0.070583,-0.097942,0.010764,0.497120,0.554573,0.517718,0.570730,0.557365,0.564646,0.684440,0.577673
-0.011975,-0.040640,-0.026710,-0.088253,-0.039513,-0.073186,-0.098585,0.010496,0.498521,0.555492,0.518645,0.574688,0.557631,0.566779,0.687899,0.578381
-0.002579,-0.042498,-0.023473,-0.091072,-0.036716,-0.069872,-0.098756,0.010093,0.492442,0.553434,0.517321,0.574894,0.557317,0.566900,0.685989,0.579579
-0.015837,-0.038219,-0.023583,-0.090244,-0.038766,-0.071163,-0.100059,0.012346,0.492957,0.552824,0.518460,0.575803,0.556576,0.568057,0.687328,0.578551
-0.015293,-0.043897,-0.025673,-0.092299,-0.037073,-0.070966,-0.100025,0.011600,0.493131,0.553833,0.520217,0.583970,0.557492,0.565298,0.686671,0.578621
-0.017239,-0.046036,-0.024373,-0.092730,-0.038584,-0.071620,-0.100274,0.012052,0.491431,0.557171,0.520199,0.580464,0.558834,0.566724,0.686221,0.577360
-0.014146,-0.038629,-0.026769,-0.092748,-0.037692,-0.070147,-0.101649,0.011814,0.499887,0.557820,0.519273,0.578784,0.558357,0.567317,0.684056,0.579610
-0.019904,-0.043953,-0.023961,-0.091909,-0.039524,-0.071271,-0.102785,0.011638,0.490052,0.557131,0.517482,0.576914,0.560458,0.567566,0.683959,0.579965
-0.015216,-0.045115,-0.027482,-0.098726,-0.040675,-0.069869,-0.103024,0.013262,0.494588,0.556668,0.520101,0.584140,0.561575,0.566621,0.685703,0.576747
-0.009902,-0.039154,-0.027631,-0.092508,-0.039783,-0.069276,-0.103895,0.011018,0.480178,0.552743,0.520212,0.580424,0.561724,0.564409,0.687514,0.577770
-0.010593,-0.041188,-0.025385,-0.092750,-0.040339,-0.070969,-0.102533,0.011673,0.495334,0.554763,0.517431,0.582790,0.560811,0.565833,0.686649,0.576762
-0.015265,-0.041273,-0.023412,-0.089686,-0.039471,-0.071051,-0.103165,0.011633,0.499576,0.556743,0.515177,0.578062,0.560338,0.564565,0.685903,0.578626
-0.023000,-0.044348,-0.025332,-0.091808,-0.041040,-0.070487,-0.102700,0.012162,0.503807,0.558173,0.518059,0.578041,0.560732,0.565735,0.687084,0.578980
-0.020840,-0.042280,-0.025616,-0.094146,-0.041385,-0.071052,-0.103550,0.011869,0.494384,0.554319,0.519246,0.581359,0.562817,0.565592,0.686000,0.579755
-0.017870,-0.049690,-0.024991,-0.097337,-0.041475,-0.067758,-0.104418,0.012307,0.500547,0.557465,0.518828,0.584083,0.565775,0.565035,0.687217,0.578234
-0.021364,-0.040998,-0.023367,-0.094071,-0.040400,-0.068729,-0.105723,0.013032,0.496958,0.555404,0.518618,0.580743,0.564399,0.565503,0.687259,0.577587
-0.018888,-0.045930,-0.025145,-0.095266,-0.042155,-0.068438,-0.104900,0.011239,0.499211,0.554952,0.520274,0.581658,0.562737,0.566368,0.686687,0.578199
